time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.41618359705e-09,0.0177284965467,10.0417934836,0.450006633008,6.28318431207,0.0,2.4181939015e-07,0.964093367919,1.2181824401,-10.8180559426,-4.97822054566e-05,0.0,900.0,899.99798584,900.0,1.82707044587e-05
0.12000000000000001,1.23061566137e-07,0.0759657367074,10.1354792497,5.40236451451,6.283179456,0.0,5.04896943377e-06,0.9498036746,1.01808211418,-19.2788994319,-0.000143303671112,0.0,900.0,899.99621582,900.0,3.38299869327e-05
0.18,9.19535913989e-07,0.128045991144,10.2150502463,2.26405527577,6.28316898833,0.0,2.45927508796e-05,1.63455405414,1.20695919974,-24.3544515738,-0.000236888181503,0.0,900.0,899.99621582,900.0,4.50219595223e-05
0.23999999999999996,3.64126849719e-06,0.275960238317,10.22723024,1.85255613026,6.28315365667,0.0,7.083672404e-05,3.31890423347,-0.764858243733,-26.8801934142,-0.000292838798578,0.0,900.0,899.997741699,900.0,2.2296080715e-05
0.3,1.01503712163e-05,0.536750233282,10.1609020628,0.437265320718,6.28313508798,0.0,0.000151960822042,5.30300843676,-1.0310952534,-28.0118631284,-0.000342783980279,0.0,900.0,899.99798584,900.0,1.81834766408e-05
0.36000000000000004,2.28089310863e-05,0.86274193282,10.142036873,5.06911923305,6.28311355345,0.0,0.000276405843466,5.0690627244,0.335952627143,-28.493971791,-0.000391112574718,0.0,900.0,899.998046875,900.0,1.60223025887e-05
0.4200000000000001,4.42771674383e-05,1.10759493698,10.1472885109,3.36179122581,6.28308722443,0.0,0.000447878894917,3.194487991,-0.665127338992,-28.6948404591,-0.000534396664499,0.0,900.0,899.99420166,900.0,6.62983366055e-05
0.48000000000000015,7.79541961773e-05,1.30481082959,10.0293823083,1.63933128335,6.28305271765,0.0,0.000684164809101,3.86339540176,-3.074696783,-28.777747931,-0.000656783451617,0.0,900.0,899.995056152,900.0,4.82738869323e-05
0.5400000000000001,0.000128073125324,1.59437251872,9.84236927799,6.19524186812,6.28301134411,0.0,0.001001006094,5.53201982652,-2.69354568875,-28.8118340696,-0.000755067642031,0.0,900.0,899.996032715,900.0,3.47390887327e-05
0.6000000000000002,0.000199849406876,1.90272139182,9.7178078237,4.46623189732,6.282960893,0.0,0.00140439702302,4.35365751926,-1.78445465274,-28.8258255034,-0.00101297348646,0.0,900.0,899.989562988,900.0,0.000123501726193
0.6600000000000003,0.00029944622148,2.11333753305,9.56082295438,2.73655098002,6.28289340686,0.0,0.00193747156792,3.05090316072,-3.80676122109,-28.8315648058,-0.00134953114792,0.0,899.99987793,899.98626709,900.0,0.000167288992088
0.7200000000000003,0.000435245511875,2.33508987831,9.27057455814,1.00660180503,6.28280607257,0.0,0.00261710026656,4.63083978489,-5.43196632588,-28.8339184347,-0.00166854115512,0.0,900.0,899.987121582,900.0,0.000143216282595
0.7800000000000004,0.000618206770363,2.65049815116,8.97438862295,5.5597290997,6.28269972019,0.0,0.00350653082856,5.40475872073,-4.25237147738,-28.8348835262,-0.00198102938466,0.0,900.0,899.987365723,900.0,0.000138504139613
0.8400000000000004,0.000860371902146,2.92502553951,8.73049306311,3.82962665615,6.2825559363,0.0,0.00461960027885,3.59227031455,-4.37224280238,-28.8352792381,-0.00324033325602,0.0,899.999694824,899.948730469,900.0,0.000623273954261
0.9000000000000005,0.00118049955366,3.11884080206,8.39463118554,2.09950602791,6.28233785972,0.0,0.00609571058491,3.37488858771,-6.85004369831,-28.8354414869,-0.00443511405,0.0,899.999328613,899.951049805,900.0,0.000838971347548
0.9600000000000005,0.00160320885807,3.37853456565,7.9552595529,0.369377949187,6.28204274935,0.0,0.00810790176275,5.2624128938,-7.26428472932,-28.8355080113,-0.00590243567727,0.0,899.999450684,899.940124512,900.0,0.000987257924862
1.0200000000000005,0.00216468769988,3.69681181997,7.55954747022,4.92243212378,6.28165489379,0.0,0.0106842442001,4.87988861689,-6.05873370395,-28.8355352872,-0.00761220200074,0.0,899.999572754,899.930358887,900.0,0.00130373821594
1.0800000000000005,0.00290900228313,3.93133262277,7.17064932308,3.19229979439,6.28111333844,0.0,0.0143110720228,3.12128426511,-7.3905246368,-28.8355441631,-0.0120166594527,0.0,899.989257812,899.811035156,899.99987793,0.00465062400326
1.1400000000000006,0.00390111563811,4.13322993288,6.65572426404,1.46216711276,6.28027858869,0.0,0.0189955744776,4.03852806559,-9.51458286714,-28.8355454949,-0.0180030897959,0.0,899.987792969,899.745666504,899.999755859,0.00713699590415
1.2000000000000006,0.00524158461958,4.42886736274,6.09474804201,6.01521970478,6.27904363941,0.0,0.025951262319,5.46096685579,-8.82909922993,-28.8355448872,-0.0263124410828,0.0,899.986938477,899.650512695,899.999694824,0.010868136771
1.2600000000000007,0.00705444982615,4.72661705163,5.59127119117,4.28508776235,6.27695061331,0.0,0.0351802037887,4.11774239204,-8.30674772874,-28.835513487,-0.0636110497165,0.0,899.933288574,898.421691895,899.998046875,0.0624339431524
1.3200000000000007,0.00960605235603,4.93079709856,5.03383267716,2.55495764717,6.27274862402,0.0,0.0506154028482,3.1272394605,-10.4747807153,-28.8354844602,-0.087726018352,0.0,899.790527344,898.812133789,899.997192383,0.0488648600876
1.3800000000000008,0.0133140717852,5.16182327784,4.35676800169,0.824830078295,6.2669995331,0.0,0.0754449992923,4.81043631524,-11.6251984662,-28.8354217943,-0.121490082655,0.0,899.698730469,898.327575684,899.994506836,0.0844160541892
